"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
2021,"Haringey 027","E02000423",6907,3343,1693,757,704,410
2021,"Haringey 028","E02000424",6756,4702,1362,336,236,120
2021,"Haringey 029","E02000425",8169,5058,1737,654,422,298
2021,"Haringey 030","E02000426",6493,4315,1399,302,294,183
2021,"Haringey 031","E02000427",6625,3499,1620,613,556,337
2021,"Haringey 032","E02000428",8433,4273,2443,713,614,390
2021,"Haringey 033","E02000429",6794,4505,1455,401,267,166
2021,"Haringey 034","E02000430",6922,4698,1292,425,334,173
2021,"Haringey 035","E02000431",5848,3739,1169,448,319,173
2021,"Haringey 036","E02000432",6122,4026,1296,380,263,157
2021,"Haringey 037","E02006794",8286,4169,2670,651,455,341
2021,"Harrow 001","E02000433",8600,4957,2402,575,363,303
2021,"Harrow 002","E02000434",9850,5142,3138,750,497,323
2021,"Harrow 003","E02000435",8188,4463,2556,508,348,313
2021,"Harrow 004","E02000436",5759,3535,1845,168,106,105
2021,"Harrow 005","E02000437",8761,4713,2844,575,391,238
2021,"Harrow 006","E02000438",8550,4988,2519,538,310,195
2021,"Harrow 007","E02000439",9266,3788,3331,1007,622,518
2021,"Harrow 008","E02000440",9605,5110,3277,565,382,271
2021,"Harrow 009","E02000441",7482,4336,2223,383,292,248
2021,"Harrow 010","E02000442",9585,3390,3814,1109,749,523
2021,"Harrow 011","E02000443",10747,4923,3520,1086,722,496
2021,"Harrow 012","E02000444",8715,3739,3372,735,531,338
2021,"Harrow 013","E02000445",11774,5194,3883,1261,851,585
2021,"Harrow 015","E02000447",8192,4366,2639,581,362,244
2021,"Harrow 016","E02000448",7070,4545,1690,347,259,229
2021,"Harrow 017","E02000449",8295,3353,3278,761,524,379
2021,"Harrow 019","E02000451",6711,3651,2199,356,256,249
2021,"Harrow 020","E02000452",9503,3924,2827,1093,995,664
2021,"Harrow 021","E02000453",8386,4060,2619,721,584,402
2021,"Harrow 022","E02000454",7338,4652,2018,305,194,169
2021,"Harrow 023","E02000455",11669,4348,3168,1351,1515,1287
2021,"Harrow 024","E02000456",7823,4002,2437,590,467,327
2021,"Harrow 025","E02000457",7057,3558,2426,414,354,305
2021,"Harrow 027","E02000459",9326,4021,3358,855,710,382
2021,"Harrow 028","E02000460",7312,3539,2627,516,337,293
2021,"Harrow 029","E02000461",7291,3872,1928,665,442,384
2021,"Harrow 030","E02000462",6982,2874,2670,647,462,329
2021,"Harrow 031","E02000463",8706,4454,3226,537,278,211
2021,"Harrow 032","E02006795",8269,3680,3188,591,438,372
2021,"Harrow 033","E02006882",14394,6437,5729,1099,620,509
2021,"Havering 001","E02000464",7757,6179,1079,277,145,77
2021,"Havering 002","E02000465",9346,7180,1440,418,204,104
2021,"Havering 003","E02000466",9069,7576,1049,229,119,96
2021,"Havering 004","E02000467",11455,8789,1743,533,242,148
2021,"Havering 005","E02000468",8650,6947,1166,305,143,89
2021,"Havering 006","E02000469",7283,5404,1234,349,178,118
2021,"Havering 007","E02000470",9782,7994,1127,362,186,113
2021,"Havering 008","E02000471",7821,6662,820,155,110,74
2021,"Havering 009","E02000472",9472,7667,1141,331,195,138
2021,"Havering 010","E02000473",10493,8890,1108,277,124,94
2021,"Havering 011","E02000474",9184,7149,1326,340,227,142
2021,"Havering 012","E02000475",9613,7919,1131,285,152,126
2021,"Havering 013","E02000476",9363,6127,1507,768,562,399
2021,"Havering 014","E02000477",9535,8326,823,189,115,82
2021,"Havering 015","E02000478",5989,4721,1098,86,43,41
2021,"Havering 016","E02000479",9449,6785,1409,636,397,222
2021,"Havering 017","E02000480",13842,9172,2587,894,619,570
2021,"Havering 018","E02000481",8234,7512,491,116,78,37
2021,"Havering 019","E02000482",6588,6040,411,76,34,27
2021,"Havering 020","E02000483",8001,6870,693,227,128,83
2021,"Havering 021","E02000484",8493,7236,870,193,99,95
2021,"Havering 022","E02000485",8475,7269,753,238,150,65
2021,"Havering 023","E02000486",7354,6237,767,161,106,83
2021,"Havering 024","E02000487",7912,7460,358,38,35,21
2021,"Havering 025","E02000488",7579,6694,647,115,77,46
2021,"Havering 026","E02000489",8635,6858,1189,277,197,114
2021,"Havering 027","E02000490",8469,6889,1034,262,159,125
2021,"Havering 028","E02000491",10639,7868,1835,489,239,208
2021,"Havering 029","E02000492",6830,5813,731,134,90,62
2021,"Havering 030","E02000493",6738,4938,1141,323,203,133
2021,"Hillingdon 001","E02000494",7957,4834,2329,321,221,252
2021,"Hillingdon 002","E02000495",10417,6264,2551,691,538,373
2021,"Hillingdon 003","E02000496",7799,6490,894,174,134,107
2021,"Hillingdon 004","E02000497",9521,6817,1957,386,183,178
2021,"Hillingdon 005","E02000498",6376,5200,866,170,80,60
2021,"Hillingdon 006","E02000499",7726,5674,1517,237,189,109
2021,"Hillingdon 007","E02000500",8278,6122,1399,320,248,189
2021,"Hillingdon 008","E02000501",8476,6361,1512,259,197,147
2021,"Hillingdon 009","E02000502",8930,6388,1654,445,268,175
2021,"Hillingdon 010","E02000503",8688,6627,1495,310,142,114
2021,"Hillingdon 011","E02000504",7642,6108,1106,194,129,105
2021,"Hillingdon 013","E02000506",7959,5647,1741,263,170,138
2021,"Hillingdon 014","E02000507",8242,5773,1779,344,206,140
2021,"Hillingdon 015","E02000508",11948,6993,2366,819,753,1017
2021,"Hillingdon 016","E02000509",10556,6190,1978,681,677,1030
2021,"Hillingdon 017","E02000510",9115,6031,2042,435,325,282
2021,"Hillingdon 018","E02000511",9930,5960,2804,532,405,229
2021,"Hillingdon 019","E02000512",8824,5431,2251,507,359,276
2021,"Hillingdon 020","E02000513",9757,5268,3006,748,434,301
2021,"Hillingdon 021","E02000514",10674,4793,3867,938,512,564
2021,"Hillingdon 022","E02000515",13292,8173,2665,891,888,675
2021,"Hillingdon 023","E02000516",8646,4349,2878,628,455,336
2021,"Hillingdon 024","E02000517",10470,5739,3190,676,504,361
2021,"Hillingdon 025","E02000518",9632,6420,2023,624,357,208
2021,"Hillingdon 026","E02000519",9554,5037,3205,569,395,348
2021,"Hillingdon 027","E02000520",14062,6534,4407,1180,1102,839
2021,"Hillingdon 028","E02000521",13190,7373,3403,931,836,647
2021,"Hillingdon 029","E02000522",9576,5922,2122,627,537,368
2021,"Hillingdon 030","E02000523",11370,4789,3710,1066,1049,756
2021,"Hillingdon 031","E02000524",7536,3993,1799,743,591,410
2021,"Hillingdon 032","E02000525",10062,4470,3099,1105,846,542
2021,"Hillingdon 033","E02006796",9695,6491,2150,533,311,210
2021,"Hounslow 001","E02000526",8638,5093,1849,609,604,483
2021,"Hounslow 004","E02000529",9716,4176,3631,852,640,417
2021,"Hounslow 005","E02000530",8120,3925,2787,637,437,334
2021,"Hounslow 006","E02000531",11583,6969,2727,933,523,431
2021,"Hounslow 007","E02000532",8976,5620,2018,545,443,350
2021,"Hounslow 008","E02000533",8402,5438,1761,521,437,245
2021,"Hounslow 009","E02000534",8558,4494,2588,648,488,340
2021,"Hounslow 010","E02000535",10052,4159,3659,913,770,551
2021,"Hounslow 011","E02000536",10841,4564,3772,908,821,776
2021,"Hounslow 012","E02000537",9845,3508,3353,1034,953,997
2021,"Hounslow 013","E02000538",10109,3690,3365,1258,1103,693
2021,"Hounslow 014","E02000539",12224,7390,3005,813,616,400
2021,"Hounslow 015","E02000540",12122,5331,3460,1348,1175,808
2021,"Hounslow 016","E02000541",10617,3992,3437,1190,1265,733
2021,"Hounslow 017","E02000542",12303,4445,3887,1503,1448,1020
2021,"Hounslow 018","E02000543",14001,4811,3816,1840,2016,1518
2021,"Hounslow 019","E02000544",8557,4520,2708,629,445,255
2021,"Hounslow 020","E02000545",9236,5604,2386,561,410,275
2021,"Hounslow 021","E02000546",10427,4253,3755,1044,754,621
2021,"Hounslow 022","E02000547",10999,6037,2891,970,641,460
2021,"Hounslow 023","E02000548",10577,6265,2683,709,465,455
2021,"Hounslow 024","E02000549",12535,6813,3513,937,693,579
2021,"Hounslow 025","E02000550",10716,5867,2768,759,726,596
2021,"Hounslow 026","E02000551",9752,5935,2562,642,398,215
2021,"Hounslow 027","E02000552",9258,5606,2295,681,419,257
2021,"Hounslow 028","E02000553",7115,4737,1634,383,229,132
2021,"Hounslow 029","E02006792",8999,4631,2061,845,859,603
2021,"Hounslow 030","E02006972",5413,2921,1351,458,334,349
2021,"Hounslow 031","E02006973",8494,4762,2302,553,494,383
2021,"Islington 001","E02000554",9354,5855,2374,484,362,279
2021,"Islington 002","E02000555",9573,6126,2165,488,441,353
2021,"Islington 003","E02000556",11396,7069,2431,762,629,505
2021,"Islington 004","E02000557",8781,5296,2093,546,496,350
2021,"Islington 005","E02000558",9433,5224,2761,564,474,410
2021,"Islington 006","E02000559",9582,5979,2082,669,482,370
2021,"Islington 007","E02000560",7354,4180,1555,590,566,463
2021,"Islington 008","E02000561",7387,4908,1364,437,369,309
2021,"Islington 009","E02000562",7863,5083,1685,442,363,290
2021,"Islington 010","E02000563",8682,5186,2029,541,511,415
2021,"Islington 011","E02000564",12420,6919,2475,995,998,1033
2021,"Islington 012","E02000565",8542,5412,1957,473,378,322
2021,"Islington 013","E02000566",8555,5480,1562,569,543,401
2021,"Islington 014","E02000567",10438,6731,1959,692,632,424
2021,"Islington 015","E02000568",11342,6709,2455,688,703,787
2021,"Islington 016","E02000569",9939,6311,1995,565,601,467
2021,"Islington 017","E02000570",8285,5353,1301,539,627,465
2021,"Islington 018","E02000571",8922,5397,1867,626,589,443
2021,"Islington 019","E02000572",8602,4902,2255,458,463,524
2021,"Islington 020","E02000573",10313,6082,1696,766,908,861
2021,"Islington 021","E02000574",7832,4238,1510,536,619,929
2021,"Islington 022","E02000575",11313,5928,2169,899,979,1338
2021,"Islington 023","E02000576",10673,5845,2319,734,826,949
2021,"Kensington and Chelsea 001","E02000577",7711,4065,2629,337,312,368
2021,"Kensington and Chelsea 002","E02000578",6003,3636,1854,244,136,133
2021,"Kensington and Chelsea 003","E02000579",8993,5438,2343,445,369,398
2021,"Kensington and Chelsea 004","E02000580",7895,4269,2452,432,399,343
2021,"Kensington and Chelsea 005","E02000581",7392,4241,2417,304,230,200
2021,"Kensington and Chelsea 006","E02000582",6543,2915,1574,625,666,763
2021,"Kensington and Chelsea 007","E02000583",6428,3480,1622,477,439,410
2021,"Kensington and Chelsea 008","E02000584",7175,3175,1828,723,721,728
2021,"Kensington and Chelsea 009","E02000585",8088,3259,2614,762,769,684
2021,"Kensington and Chelsea 010","E02000586",6474,2163,1925,826,660,900
2021,"Kensington and Chelsea 011","E02000587",6496,2550,1907,681,714,644
2021,"Kensington and Chelsea 012","E02000588",5983,2227,1643,744,660,709
2021,"Kensington and Chelsea 013","E02000589",7250,2335,2009,784,886,1236
2021,"Kensington and Chelsea 014","E02000590",5974,2719,1670,508,502,575
2021,"Kensington and Chelsea 015","E02000591",6212,2182,1912,620,676,822
2021,"Kensington and Chelsea 016","E02000592",5764,2105,1502,753,660,744
2021,"Kensington and Chelsea 017","E02000593",7393,2689,2087,997,848,772
2021,"Kensington and Chelsea 018","E02000594",6482,3294,1700,632,444,412
2021,"Kensington and Chelsea 019","E02000595",6164,3006,1635,564,484,475
2021,"Kensington and Chelsea 020","E02000596",6618,3006,1694,648,622,648
2021,"Kensington and Chelsea 021","E02000597",6336,3309,2119,350,297,261
2021,"Kingston upon Thames 001","E02000598",8093,5464,1719,425,281,204
2021,"Kingston upon Thames 002","E02000599",7006,3870,2087,384,315,350
2021,"Kingston upon Thames 003","E02000600",8357,5058,1796,583,484,436
2021,"Kingston upon Thames 004","E02000601",11904,7595,2139,760,692,718
2021,"Kingston upon Thames 005","E02000602",10313,6392,2068,703,571,579
2021,"Kingston upon Thames 006","E02000603",8636,5156,2237,501,409,333
2021,"Kingston upon Thames 007","E02000604",9242,5593,2281,625,422,321
2021,"Kingston upon Thames 008","E02000605",8490,5527,2071,394,274,224
2021,"Kingston upon Thames 009","E02000606",10563,6395,1898,850,674,746
2021,"Kingston upon Thames 010","E02000607",6796,5032,1059,295,219,191
2021,"Kingston upon Thames 011","E02000608",7199,4587,1270,536,432,374
2021,"Kingston upon Thames 012","E02000609",7629,4642,2168,365,245,209
2021,"Kingston upon Thames 013","E02000610",7951,5364,1401,516,426,244
2021,"Kingston upon Thames 014","E02000611",7441,5554,1419,215,135,118
2021,"Kingston upon Thames 015","E02000612",8252,5712,1903,308,188,141
2021,"Kingston upon Thames 016","E02000613",8096,5979,1335,371,235,176
2021,"Kingston upon Thames 017","E02000614",9295,5656,2430,591,368,250
2021,"Kingston upon Thames 018","E02000615",7881,6022,1273,273,162,151
2021,"Kingston upon Thames 019","E02000616",6061,4908,797,198,105,53
2021,"Kingston upon Thames 020","E02000617",8863,6905,1378,320,169,91
2021,"Lambeth 002","E02000619",9099,5358,2476,541,380,344
2021,"Lambeth 003","E02000620",9845,5727,2432,570,547,569
2021,"Lambeth 004","E02000621",12520,6263,2888,1097,957,1315
2021,"Lambeth 005","E02000622",8404,5031,1983,525,490,375
2021,"Lambeth 006","E02000623",7859,4334,2306,475,454,290
2021,"Lambeth 007","E02000624",9631,5839,2299,638,413,442
2021,"Lambeth 008","E02000625",9303,5045,2720,721,485,332
2021,"Lambeth 009","E02000626",8362,4845,2540,425,281,271
2021,"Lambeth 010","E02000627",9553,5715,2402,592,449,395
2021,"Lambeth 011","E02000628",10785,5761,3375,663,637,349
2021,"Lambeth 012","E02000629",9118,5851,1762,527,585,393
2021,"Lambeth 013","E02000630",7538,4993,1393,453,389,310
2021,"Lambeth 014","E02000631",9525,6365,1922,523,435,280
2021,"Lambeth 015","E02000632",9586,6428,1656,599,518,385
2021,"Lambeth 016","E02000633",9162,5662,2351,501,375,273
2021,"Lambeth 017","E02000634",6773,4242,1530,411,319,271
2021,"Lambeth 018","E02000635",9811,6597,2126,449,409,230
2021,"Lambeth 019","E02000636",7717,5414,1270,389,352,292
2021,"Lambeth 020","E02000637",8402,5562,1591,494,477,278
2021,"Lambeth 021","E02000638",10257,6411,2400,624,500,322
2021,"Lambeth 022","E02000639",8322,4399,2488,625,490,320
2021,"Lambeth 023","E02000640",9288,6589,1747,382,335,235
2021,"Lambeth 024","E02000641",8630,5083,2559,478,296,214
2021,"Lambeth 025","E02000642",9808,6782,2018,415,386,207
2021,"Lambeth 026","E02000643",9378,5875,2135,651,436,281
2021,"Lambeth 027","E02000644",8521,5526,1859,496,365,275
2021,"Lambeth 028","E02000645",9534,6318,1980,586,368,282
2021,"Lambeth 029","E02000646",9495,5926,2026,789,504,250
2021,"Lambeth 030","E02000647",8592,5770,1924,380,310,208
2021,"Lambeth 031","E02000648",7824,5307,1871,312,185,149
2021,"Lambeth 032","E02000649",12477,7233,2827,1213,773,431
2021,"Lambeth 033","E02000650",7665,5366,1591,366,184,158
2021,"Lambeth 034","E02000651",8738,5240,2067,645,490,296
2021,"Lambeth 035","E02000652",7555,4012,2240,613,413,277
2021,"Lambeth 036","E02006801",8567,4223,1682,604,619,1439
2021,"Lewisham 001","E02000653",12608,6445,3225,1288,1009,641
2021,"Lewisham 002","E02000654",8786,4943,2612,568,382,281
2021,"Lewisham 003","E02000655",10284,5731,2574,906,601,472
2021,"Lewisham 005","E02000657",9906,6104,2184,656,428,534
2021,"Lewisham 006","E02000658",8618,5500,1935,523,393,267
2021,"Lewisham 007","E02000659",8063,5371,1645,478,304,265
2021,"Lewisham 008","E02000660",8205,5278,1641,577,432,277
2021,"Lewisham 009","E02000661",6492,4522,1170,396,242,162
2021,"Lewisham 010","E02000662",8295,5404,2062,405,259,165
2021,"Lewisham 011","E02000663",6796,4498,1394,459,242,203
2021,"Lewisham 013","E02000665",8156,5505,1662,536,303,150
2021,"Lewisham 014","E02000666",7190,5039,1499,301,246,105
2021,"Lewisham 015","E02000667",6687,4869,1267,268,197,86
2021,"Lewisham 016","E02000668",6860,4858,1280,370,241,111
2021,"Lewisham 017","E02000669",7972,4955,1719,608,399,291
2021,"Lewisham 018","E02000670",6706,3848,1825,502,329,202
2021,"Lewisham 019","E02000671",8740,6336,1628,405,236,135
2021,"Lewisham 020","E02000672",10275,6120,2410,912,479,354
2021,"Lewisham 021","E02000673",8139,5906,1527,336,204,166
2021,"Lewisham 022","E02000674",8454,5591,1996,447,261,159
2021,"Lewisham 023","E02000675",8527,5909,1709,467,276,166
2021,"Lewisham 024","E02000676",7816,5701,1494,289,217,115
2021,"Lewisham 025","E02000677",7210,4686,1842,330,190,162
2021,"Lewisham 026","E02000678",6961,4520,1612,424,239,166
2021,"Lewisham 027","E02000679",8133,5731,1642,400,257,103
2021,"Lewisham 028","E02000680",7035,4691,1620,410,211,103
2021,"Lewisham 029","E02000681",8473,5701,2008,391,243,130
2021,"Lewisham 030","E02000682",8934,5670,2455,426,242,141
2021,"Lewisham 031","E02000683",6769,4489,1534,369,215,162
2021,"Lewisham 033","E02000685",8131,5601,1700,476,198,156
2021,"Lewisham 034","E02000686",7536,4780,1944,413,271,128
2021,"Lewisham 035","E02000687",8266,5813,1698,338,249,168
2021,"Lewisham 037","E02006783",7772,5232,1636,438,254,212
2021,"Lewisham 038","E02006784",7971,5288,1855,447,234,147
2021,"Lewisham 039","E02006798",8891,4855,2541,681,450,364
2021,"Lewisham 040","E02007008",5764,2688,1221,711,577,567
2021,"Lewisham 041","E02007009",9141,5306,2215,703,541,376
2021,"Merton 001","E02000689",9054,5923,1796,633,389,313
2021,"Merton 002","E02000690",5525,3529,1282,256,237,221
2021,"Merton 003","E02000691",7355,4499,1542,577,438,299
2021,"Merton 004","E02000692",7655,4461,1652,554,560,428
2021,"Merton 005","E02000693",9854,5662,2168,883,691,450
2021,"Merton 006","E02000694",9104,5865,1753,632,492,362
2021,"Merton 007","E02000695",8641,4369,2824,653,472,323
2021,"Merton 008","E02000696",8631,4516,2458,808,521,328
2021,"Merton 009","E02000697",8728,5083,1753,826,642,424
2021,"Merton 010","E02000698",8235,5320,1785,460,357,313
2021,"Merton 011","E02000699",8217,5044,1704,662,457,350
2021,"Merton 012","E02000700",8662,4768,2500,732,429,233
2021,"Merton 013","E02000701",9012,4450,3044,703,466,349
2021,"Merton 014","E02000702",9322,5502,2650,618,329,223
2021,"Merton 015","E02000703",7965,5102,1877,404,361,221
2021,"Merton 016","E02000704",8601,4966,1906,789,607,333
2021,"Merton 017","E02000705",9327,4957,2905,669,425,371
2021,"Merton 018","E02000706",10035,5390,3049,778,516,302
2021,"Merton 019","E02000707",8305,4827,2508,497,267,206
2021,"Merton 020","E02000708",8890,5543,2317,519,277,234
2021,"Merton 021","E02000709",7977,5335,1800,396,260,186
2021,"Merton 022","E02000710",9186,5379,2567,624,393,223
2021,"Merton 023","E02000711",9446,5059,2603,845,594,345
2021,"Merton 024","E02000712",9666,5906,2612,660,315,173
2021,"Merton 025","E02000713",7806,5796,1425,315,167,103
2021,"Newham 001","E02000714",7711,3943,2123,654,590,401
2021,"Newham 002","E02000715",7297,3275,2228,819,590,385
2021,"Newham 003","E02000716",7350,3583,2056,614,639,458
2021,"Newham 004","E02000717",8357,3579,2513,930,790,545
2021,"Newham 005","E02000718",7407,3554,2347,693,443,370
2021,"Newham 006","E02000719",8075,3753,2224,965,665,468
2021,"Newham 007","E02000720",7489,3741,2168,550,529,501
2021,"Newham 008","E02000721",9544,4331,2961,851,750,651
2021,"Newham 009","E02000722",8139,3601,2196,937,883,522
2021,"Newham 010","E02000723",11195,4772,3590,942,950,941
2021,"Newham 011","E02000724",10027,4406,3370,955,726,570
2021,"Newham 012","E02000725",9989,4431,2529,1213,1031,785
2021,"Newham 014","E02000727",8519,3453,2826,793,771,676
2021,"Newham 015","E02000728",8527,3128,2875,939,840,745
2021,"Newham 016","E02000729",7327,3545,2037,765,592,388
2021,"Newham 017","E02000730",9930,4013,3250,893,854,920
2021,"Newham 018","E02000731",9962,3902,3139,1112,1074,735
2021,"Newham 019","E02000732",8900,4126,2695,796,697,586
2021,"Newham 020","E02000733",10095,5012,2928,823,777,555
2021,"Newham 021","E02000734",7301,3391,2336,678,505,391
2021,"Newham 022","E02000735",8610,3765,2669,814,680,682
2021,"Newham 023","E02000736",9204,4390,2772,982,651,409
2021,"Newham 024","E02000737",10379,5061,3190,924,739,465
2021,"Newham 025","E02000738",9577,4454,2821,886,894,522
2021,"Newham 026","E02000739",7726,3488,2189,892,664,493
2021,"Newham 027","E02000740",6765,3338,2118,534,435,340
2021,"Newham 028","E02000741",8245,3982,2594,687,531,451
2021,"Newham 029","E02000742",8704,4329,2536,770,557,512
2021,"Newham 030","E02000743",10279,5000,3008,980,752,539
2021,"Newham 031","E02000744",9172,4669,2350,888,726,539
2021,"Newham 032","E02000745",8598,3914,2546,1021,673,444
2021,"Newham 033","E02000746",9427,4789,2653,892,598,495
2021,"Newham 034","E02000747",13098,5898,3169,1486,1472,1073
2021,"Newham 035","E02000748",6272,2781,1898,763,445,385
2021,"Newham 036","E02000749",9549,5029,2719,797,592,412
2021,"Newham 038","E02006995",8638,4495,1589,944,705,905
2021,"Newham 039","E02006996",8426,3904,1875,921,759,967
2021,"Newham 040","E02006997",6888,3212,1503,888,729,556
2021,"Newham 041","E02006998",7086,3411,2052,711,547,365
2021,"Newham 042","E02006999",11243,5000,2538,1528,1287,890
2021,"Redbridge 001","E02000751",11157,8286,2049,390,252,180
2021,"Redbridge 002","E02000752",8782,5738,2044,494,304,202
2021,"Redbridge 003","E02000753",6920,4443,1540,434,309,194
2021,"Redbridge 004","E02000754",6770,4726,1362,326,220,136
2021,"Redbridge 005","E02000755",5483,3926,1011,271,156,119
2021,"Redbridge 006","E02000756",14594,8895,3286,1110,719,584
2021,"Redbridge 007","E02000757",12393,8683,2279,660,470,301
2021,"Redbridge 008","E02000758",6885,4222,2030,326,167,140
2021,"Redbridge 009","E02000759",13090,8540,3026,743,533,248
2021,"Redbridge 010","E02000760",7535,4478,1961,507,397,192
2021,"Redbridge 012","E02000762",6621,3659,2162,389,241,170
2021,"Redbridge 013","E02000763",8017,4235,2484,548,427,323
2021,"Redbridge 014","E02000764",12309,8522,2564,567,427,229
2021,"Redbridge 015","E02000765",7527,3688,2269,583,575,412
2021,"Redbridge 017","E02000767",8625,4359,2509,729,631,397
2021,"Redbridge 018","E02000768",5788,4330,1078,178,108,94
2021,"Redbridge 020","E02000770",8125,3832,2731,665,567,330
2021,"Redbridge 022","E02000772",8383,4118,2510,711,555,489
2021,"Redbridge 023","E02000773",10733,5256,3463,857,704,453
2021,"Redbridge 024","E02000774",8109,3788,2417,820,617,467
2021,"Redbridge 026","E02000776",7039,3489,2108,619,525,298
2021,"Redbridge 027","E02000777",6004,4468,1050,228,132,126
2021,"Redbridge 029","E02000779",8418,3417,2319,984,1018,680
2021,"Redbridge 031","E02000781",16292,8980,4929,1067,714,602
2021,"Redbridge 032","E02000782",11487,4830,3459,1176,1169,853
2021,"Redbridge 033","E02000783",7395,3314,2300,805,566,410
2021,"Redbridge 034","E02006800",14682,7306,4254,1392,981,749
2021,"Redbridge 035","E02006924",13600,7180,4200,912,713,595
2021,"Redbridge 036","E02006925",14420,8038,4878,570,480,454
2021,"Redbridge 037","E02007017",8815,5390,2397,452,371,205
2021,"Redbridge 038","E02007018",7270,4029,2012,527,392,310
2021,"Redbridge 039","E02007019",7162,2348,1763,881,1206,964
2021,"Redbridge 040","E02007020",9840,4452,3271,890,730,497
2021,"Richmond upon Thames 001","E02000784",10130,6701,2226,503,340,360
2021,"Richmond upon Thames 002","E02000785",9714,6666,1640,538,526,344
2021,"Richmond upon Thames 003","E02000786",11372,7997,1945,566,468,396
2021,"Richmond upon Thames 004","E02000787",12086,7674,2409,804,614,585
2021,"Richmond upon Thames 005","E02000788",9094,6456,1511,449,348,330
2021,"Richmond upon Thames 006","E02000789",6301,3975,1206,395,427,298
2021,"Richmond upon Thames 007","E02000790",6586,4796,979,334,266,211
2021,"Richmond upon Thames 008","E02000791",6467,3774,1211,475,529,478
2021,"Richmond upon Thames 009","E02000792",7149,4770,1242,425,404,308
2021,"Richmond upon Thames 010","E02000793",8107,5817,1505,347,252,186
2021,"Richmond upon Thames 011","E02000794",7014,4926,1256,341,268,223
2021,"Richmond upon Thames 012","E02000795",6926,4829,1239,348,272,238
2021,"Richmond upon Thames 013","E02000796",11083,7437,2607,474,337,228
2021,"Richmond upon Thames 014","E02000797",7868,5740,1086,374,395,273
2021,"Richmond upon Thames 015","E02000798",11306,8514,1852,427,287,226
2021,"Richmond upon Thames 016","E02000799",6605,5171,828,251,160,195
2021,"Richmond upon Thames 017","E02000800",5412,3677,1126,285,190,134
2021,"Richmond upon Thames 018","E02000801",7107,5579,977,232,173,146
2021,"Richmond upon Thames 019","E02000802",7022,5563,964,223,169,103
2021,"Richmond upon Thames 020","E02000803",9716,7242,1726,396,182,170
2021,"Richmond upon Thames 021","E02000804",7147,5574,973,232,182,186
2021,"Richmond upon Thames 022","E02000805",10754,8044,1681,453,336,240
2021,"Richmond upon Thames 023","E02000806",10299,8126,1445,364,215,149
2021,"Southwark 001","E02000807",8227,4465,1680,928,689,465
2021,"Southwark 002","E02000808",10168,5106,1873,845,896,1448
2021,"Southwark 004","E02000810",11895,6859,2748,925,809,554
2021,"Southwark 006","E02000812",10788,5950,2715,735,694,694
2021,"Southwark 007","E02000813",10223,5550,2202,990,843,638
2021,"Southwark 008","E02000814",10291,5354,2171,1241,908,617
2021,"Southwark 009","E02000815",7612,3727,1625,624,650,986
2021,"Southwark 010","E02000816",9609,5628,2023,858,655,445
2021,"Southwark 011","E02000817",6822,4223,1614,411,328,246
2021,"Southwark 012","E02000818",9791,5324,2402,820,687,558
2021,"Southwark 013","E02000819",8499,4702,2350,597,468,382
2021,"Southwark 014","E02000820",9244,5193,2277,651,506,617
2021,"Southwark 015","E02000821",9359,4228,2664,957,715,795
2021,"Southwark 016","E02000822",6720,3655,1925,495,378,267
2021,"Southwark 017","E02000823",8686,4851,2390,585,495,365
2021,"Southwark 018","E02000824",9903,5321,3152,634,453,343
2021,"Southwark 019","E02000825",10225,5674,3265,519,356,411
2021,"Southwark 020","E02000826",9881,5777,2615,632,454,403
2021,"Southwark 021","E02000827",11311,5874,3473,812,665,487
2021,"Southwark 022","E02000828",8814,4939,2556,625,383,311
2021,"Southwark 023","E02000829",10925,6926,2718,586,402,293
2021,"Southwark 024","E02000830",8886,5878,1820,460,367,361
2021,"Southwark 025","E02000831",9353,6519,1831,450,327,226
2021,"Southwark 026","E02000832",9687,6628,2229,434,250,146
2021,"Southwark 027","E02000833",7487,4508,1992,379,306,302
2021,"Southwark 028","E02000834",9389,7042,1499,363,310,175
2021,"Southwark 029","E02000835",7679,5703,1447,242,182,105
2021,"Southwark 030","E02000836",8296,6242,1348,297,244,165
2021,"Southwark 031","E02000837",8558,6624,1389,233,196,116
2021,"Southwark 032","E02000838",9497,6718,1814,400,324,241
2021,"Southwark 033","E02000839",8480,5780,1836,444,203,217
2021,"Southwark 034","E02006802",9276,5077,2053,680,625,841
2021,"Southwark 035","E02006941",5312,2635,820,578,616,663
2021,"Southwark 036","E02006942",6746,3710,1308,624,593,511
2021,"Sutton 001","E02000840",9321,6742,1834,447,177,121
2021,"Sutton 002","E02000841",9188,6306,1965,515,227,175
2021,"Sutton 003","E02000842",8279,5926,1696,299,186,172
2021,"Sutton 004","E02000843",9472,6912,1587,533,270,170
2021,"Sutton 005","E02000844",8654,6539,1587,304,136,88
2021,"Sutton 006","E02000845",9420,6860,1778,406,212,164
2021,"Sutton 007","E02000846",7615,5201,1622,417,221,154
2021,"Sutton 008","E02000847",9420,7138,1682,306,185,109
